timestamp,sensor_id,value,reason
2025-08-22 01:43:00+00:00,TEMP-01,65.79,"Value 65.79 is outside range [64.40, 65.77]"
2025-08-22 01:46:00+00:00,TEMP-01,65.82,"Value 65.82 is outside range [64.40, 65.77]"
2025-08-22 01:55:00+00:00,TEMP-01,65.96,"Value 65.96 is outside range [64.40, 65.77]"
2025-08-22 02:00:00+00:00,TEMP-01,66.02,"Value 66.02 is outside range [64.40, 65.77]"
2025-08-22 02:01:00+00:00,TEMP-01,65.79,"Value 65.79 is outside range [64.40, 65.77]"
2025-08-22 02:05:00+00:00,TEMP-01,65.93,"Value 65.93 is outside range [64.40, 65.77]"
2025-08-22 02:07:00+00:00,TEMP-01,66.04,"Value 66.04 is outside range [64.40, 65.77]"
2025-08-22 02:11:00+00:00,TEMP-01,65.87,"Value 65.87 is outside range [64.40, 65.77]"
2025-08-22 02:12:00+00:00,TEMP-01,65.93,"Value 65.93 is outside range [64.40, 65.77]"
2025-08-22 02:13:00+00:00,TEMP-01,65.79,"Value 65.79 is outside range [64.40, 65.77]"
2025-08-22 02:15:00+00:00,TEMP-01,65.98,"Value 65.98 is outside range [64.40, 65.77]"
2025-08-22 02:16:00+00:00,TEMP-01,66.06,"Value 66.06 is outside range [64.40, 65.77]"
2025-08-22 02:17:00+00:00,TEMP-01,66.04,"Value 66.04 is outside range [64.40, 65.77]"
2025-08-22 02:21:00+00:00,TEMP-01,66.08,"Value 66.08 is outside range [64.40, 65.77]"
2025-08-22 02:22:00+00:00,TEMP-01,65.84,"Value 65.84 is outside range [64.40, 65.77]"
2025-08-22 02:23:00+00:00,TEMP-01,65.92,"Value 65.92 is outside range [64.40, 65.77]"
2025-08-22 02:24:00+00:00,TEMP-01,66.06,"Value 66.06 is outside range [64.40, 65.77]"
2025-08-22 02:25:00+00:00,TEMP-01,66.26,"Value 66.26 is outside range [64.40, 65.77]"
2025-08-22 02:26:00+00:00,TEMP-01,66.01,"Value 66.01 is outside range [64.40, 65.77]"
2025-08-22 02:27:00+00:00,TEMP-01,66.02,"Value 66.02 is outside range [64.40, 65.77]"
2025-08-22 02:29:00+00:00,TEMP-01,65.9,"Value 65.90 is outside range [64.40, 65.77]"
2025-08-22 02:30:00+00:00,TEMP-01,65.86,"Value 65.86 is outside range [64.40, 65.77]"
2025-08-22 02:31:00+00:00,TEMP-01,66.22,"Value 66.22 is outside range [64.40, 65.77]"
2025-08-22 02:32:00+00:00,TEMP-01,65.82,"Value 65.82 is outside range [64.40, 65.77]"
2025-08-22 02:33:00+00:00,TEMP-01,66.28,"Value 66.28 is outside range [64.40, 65.77]"
2025-08-22 02:34:00+00:00,TEMP-01,65.86,"Value 65.86 is outside range [64.40, 65.77]"
2025-08-22 02:35:00+00:00,TEMP-01,66.29,"Value 66.29 is outside range [64.40, 65.77]"
2025-08-22 02:36:00+00:00,TEMP-01,66.11,"Value 66.11 is outside range [64.40, 65.77]"
2025-08-22 02:37:00+00:00,TEMP-01,66.2,"Value 66.20 is outside range [64.40, 65.77]"
2025-08-22 02:38:00+00:00,TEMP-01,66.62,"Value 66.62 is outside range [64.40, 65.77]"
2025-08-22 02:39:00+00:00,TEMP-01,66.26,"Value 66.26 is outside range [64.40, 65.77]"
2025-08-22 02:40:00+00:00,TEMP-01,66.14,"Value 66.14 is outside range [64.40, 65.77]"
2025-08-22 02:41:00+00:00,TEMP-01,66.42,"Value 66.42 is outside range [64.40, 65.77]"
2025-08-22 02:42:00+00:00,TEMP-01,66.25,"Value 66.25 is outside range [64.40, 65.77]"
2025-08-22 02:43:00+00:00,TEMP-01,66.13,"Value 66.13 is outside range [64.40, 65.77]"
